user_id,title,text,Genre,show_id,created
1026509053147664384,Love,i love Dave Chappelle.,Romance,81033200,2020-12-15 08:09:27
1031993857876086785,After,"After reading ""Santa's Stuck"" by Rhonda Gowler Greene, Mrs. Ortiz's fourth graders had to do their own drawing. The… https://t.co/O2LHXoP7W3",Romance,80244311,2020-12-18 18:31:19
1087549809551204352,Love,✨Love like there’s no tomorrow✨,Romance,81033200,2020-11-28 05:19:44
1121629253135556609,Still,🤔 I still count myself as new to the social work profession and have yet to read any of Brene Brown’s books..... wa… https://t.co/9D7FTz63ew,Horror,80999985,2020-10-04 06:36:22
1288184693201002500,Outlander,"@vicky_gilmour @Outlander_STARZ Yes, I think between 30-35 is a good  “in our heads” age to stick with! Still young… https://t.co/kfpd4WDpFe",Romance,70285581,2020-10-14 21:30:57
1306964901483618305,GoodMorningCall,"Goodmorning!! Today is the day!! 🥰 Let's start our day w/a smile,, and let's stream to our heart's content! 😊❤… https://t.co/e9brSqGu1t",Romance,80092878,2020-11-30 01:04:39
1327467636964417538,Still,I still haven’t watched Frozen or Black panther 😭,Horror,80999985,2020-12-01 14:53:08
2310872064,SomethingintheRain,#SomethingToSay ironic how candice patton wants to take all the racist bullying so future black female actresses wo… https://t.co/h2oJX5dQPF,Romance,80990935,2020-11-29 22:14:59
30398906,Thriller,"iLOVE THE QUALITY 😍🖤 This Photo 
#THRILLER • #KINGOFPOP✨ #MICHAELJACKSON⚡️@michaeljackson #MJJ #MJ #MOONWALKER… https://t.co/iAKgh7m4Iu",Horror,81024557,2020-10-09 21:02:46
3175485668,Remember,I remember one day a teacher from he asked us to write a motto to put on our desks/books to give us motivation. Wha… https://t.co/UawDv8h1dT,Action,80022605,2020-12-18 15:23:26
37241581,Still,It’s still crazy to me people were recording their kids reaction to “Black Panther” passing away... y’all don’t eve… https://t.co/QGqTDnqQCT,Horror,80999985,2020-10-14 00:12:49
39584754,Don,"Don’t respond to threats from debt collectors. If scammers threaten to arrest you, suspend your driver’s license, o… https://t.co/TS3KetOS73",Action,20255837,2020-10-07 18:20:55
450893684,Three,"Three favourite horror movie films?
Pure spooky szn vibes — the ritual!!! is on netflix and is really good !! recom… https://t.co/NUlhkyK8t3",Action,80117455,2020-10-12 00:58:39
741663385545256960,TomorrowwithYou,no bc tomorrow im seeing my therapist for the first time since i got covid should i mention the additional emotiona… https://t.co/1kxSfNQMnk,Romance,81167029,2020-11-29 23:28:55
741663385545256960,TomorrowNeverDies,no bc tomorrow im seeing my therapist for the first time since i got covid should i mention the additional emotiona… https://t.co/1kxSfNQMnk,Action,17016471,2020-11-29 23:28:55
832804596,Happy,"Happy 49th UAE National Day
We are almost 50. It has been 49 years of progress, tolerance and love. The hard work a… https://t.co/KRUpO3JilV",Action,80177346,2020-12-02 02:45:05
1072624528860291074,Don,"I don't see no shine
Today is just a daydream
Tomorrow she'll be cast away",Action,20255837,2020-11-30 01:06:54
1162776301784186882,Don,Is the Zelda n64 even good or people just really like it for nostalgia? cuz they look like really dated games. Mayb… https://t.co/b9gI3JhkeR,Action,20255837,2020-11-30 03:38:32
1162776301784186882,Don,I don’t think he’s low mid tier but one clip on quickplay (I think idk just assuming) isn’t going to convince peopl… https://t.co/ykOmzAU937,Action,20255837,2020-11-30 03:38:32
1206354252853059587,Moonwalkers,Moonwalkers https://t.co/Aty0v08soq,Action,80046728,2020-12-12 18:45:50
1285508138817347586,Don,"""Don't touch my fans,F*ck you!""
-Michael Jackson 

The True Moonwalkers Believe that forever 😌✨
~
~
~
~
~
~
~
~… https://t.co/RlnVVWzIb6",Action,20255837,2020-11-21 12:17:00
